ADM4_EN;ADM4_PCODE;ADM4_REF;ADM4ALT1_EN;ADM4ALT2_EN;ADM3_EN;ADM3_PCODE;ADM2_EN;ADM2_PCODE;ADM1_EN;ADM1_PCODE;ADM0_EN;ADM0_PCODE;DATE;VALIDON;VALIDTO;ADM1_ID;ADM2_ID;ADM3_ID;AREA_SQKM
1;ZA9344001;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;19,00540311
2;ZA9344002;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;10,33772004
3;ZA9344003;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;44,08449178
4;ZA9344004;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;15,26318798
5;ZA9344005;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;106,844335
6;ZA9344006;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;12,573232
7;ZA9344007;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;115,6596115
8;ZA9344008;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;48,07088131
9;ZA9344009;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;257,6340175
10;ZA9344010;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;34,32903749
11;ZA9344011;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;47,35479812
12;ZA9344012;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;102,4857145
13;ZA9344013;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;26,09614038
14;ZA9344014;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;18,55322478
15;ZA9344015;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;134,0695226
16;ZA9344016;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;27,76437552
17;ZA9344017;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;29,30467924
18;ZA9344018;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;32,41131002
19;ZA9344019;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;73,58779138
20;ZA9344020;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;972,8659254
21;ZA9344021;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;3086,12404
22;ZA9344022;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;41,15856099
23;ZA9344023;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;27,20520763
24;ZA9344024;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;40,84121018
25;ZA9344025;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;43,64705194
26;ZA9344026;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;1298,35282
27;ZA9344027;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;7,93030931
28;ZA9344028;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;77,8084
29;ZA9344029;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;18,89079122
30;ZA9344030;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;76,00007041
31;ZA9344031;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;171,9612944
32;ZA9344032;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;22,8462266
33;ZA9344033;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;26,21523955
34;ZA9344034;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;19,39429108
35;ZA9344035;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;41,36511382
36;ZA9344036;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;65,47972034
37;ZA9344037;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;369,2909636
38;ZA9344038;;;;Makhado;ZA9344;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM344;42,25134124
1;ZA6392001;;;;Naledi;ZA6392;Dr Ruth Segomotsi Mompati;ZA639;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC39;NW392;1581,520504
2;ZA6392002;;;;Naledi;ZA6392;Dr Ruth Segomotsi Mompati;ZA639;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC39;NW392;770,0233658
3;ZA6392003;;;;Naledi;ZA6392;Dr Ruth Segomotsi Mompati;ZA639;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC39;NW392;2,722164907
4;ZA6392004;;;;Naledi;ZA6392;Dr Ruth Segomotsi Mompati;ZA639;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC39;NW392;0,968568218
5;ZA6392005;;;;Naledi;ZA6392;Dr Ruth Segomotsi Mompati;ZA639;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC39;NW392;3790,144889
6;ZA6392006;;;;Naledi;ZA6392;Dr Ruth Segomotsi Mompati;ZA639;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC39;NW392;1,262839629
7;ZA6392007;;;;Naledi;ZA6392;Dr Ruth Segomotsi Mompati;ZA639;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC39;NW392;851,2824523
8;ZA6392008;;;;Naledi;ZA6392;Dr Ruth Segomotsi Mompati;ZA639;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC39;NW392;0,481239578
9;ZA6392009;;;;Naledi;ZA6392;Dr Ruth Segomotsi Mompati;ZA639;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC39;NW392;27,60376016
10;ZA6392010;;;;Naledi;ZA6392;Dr Ruth Segomotsi Mompati;ZA639;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC39;NW392;3,784303289
1;ZA9343001;;;;Thulamela;ZA9343;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM343;95,21460612
2;ZA9343002;;;;Thulamela;ZA9343;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM343;374,0350184
3;ZA9343003;;;;Thulamela;ZA9343;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM343;35,20744697
4;ZA9343004;;;;Thulamela;ZA9343;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM343;149,721813
5;ZA9343005;;;;Thulamela;ZA9343;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM343;188,7730268
6;ZA9343006;;;;Thulamela;ZA9343;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM343;429,2823091
7;ZA9343007;;;;Thulamela;ZA9343;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM343;74,92354391
8;ZA9343008;;;;Thulamela;ZA9343;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM343;43,34273172
67;ZA1910067;;;;City of Cape Town;ZA1910;City of Cape Town;ZA191;Western Cape;ZA1;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;WC;CPT;CPT;21,15894295
68;ZA1910068;;;;City of Cape Town;ZA1910;City of Cape Town;ZA191;Western Cape;ZA1;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;WC;CPT;CPT;2,823421255
69;ZA1910069;;;;City of Cape Town;ZA1910;City of Cape Town;ZA191;Western Cape;ZA1;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;WC;CPT;CPT;40,62927991
8;ZA2137008;;;;Engcobo;ZA2137;Chris Hani;ZA213;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC13;EC137;126,1120043
9;ZA2137009;;;;Engcobo;ZA2137;Chris Hani;ZA213;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC13;EC137;93,26151049
10;ZA2137010;;;;Engcobo;ZA2137;Chris Hani;ZA213;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC13;EC137;36,08543851
11;ZA2137011;;;;Engcobo;ZA2137;Chris Hani;ZA213;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC13;EC137;64,91228346
12;ZA2157012;;;;King Sabata Dalindyebo;ZA2157;O.R.Tambo;ZA215;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC15;EC157;12,85243227
